enzyme	genome_name	gene_caller_id	contig	modules_with_enzyme	enzyme_definition
K10026	contigs_clean	88	c_000000000003	None	7-carboxy-7-deazaguanine synthase [EC:4.3.99.3]
K03699	contigs_clean	99	c_000000000003	None	magnesium and cobalt exporter, CNNM family
K10763	contigs_clean	100	c_000000000003	None	DnaA-homolog protein
K01354	contigs_clean	85	c_000000000003	None	oligopeptidase B [EC:3.4.21.83]
K03563	contigs_clean	411	c_000000000011	None	carbon storage regulator
K15738	contigs_clean	430	c_000000000011	None	ABC transport system ATP-binding/permease protein
K01775	contigs_clean	428	c_000000000011	None	alanine racemase [EC:5.1.1.1]
K05365	contigs_clean	408	c_000000000011	None	penicillin-binding protein 1B [EC:2.4.1.129 3.4.16.4]
K01879	contigs_clean	415	c_000000000011	None	glycyl-tRNA synthetase beta chain [EC:6.1.1.14]
K01878	contigs_clean	416	c_000000000011	None	glycyl-tRNA synthetase alpha chain [EC:6.1.1.14]
K03640	contigs_clean	424	c_000000000011	None	peptidoglycan-associated lipoprotein
K03641	contigs_clean	423	c_000000000011	None	TolB protein
K01872	contigs_clean	412	c_000000000011	None	alanyl-tRNA synthetase [EC:6.1.1.7]
K03797	contigs_clean	421	c_000000000011	None	carboxyl-terminal processing protease [EC:3.4.21.102]
K03745	contigs_clean	414	c_000000000011	None	SlyX protein
K09892	contigs_clean	772	c_000000000018	None	cell division protein ZapB
K02494	contigs_clean	774	c_000000000019	None	outer membrane lipoprotein LolB
K06179	contigs_clean	759	c_000000000017	None	23S rRNA pseudouridine955/2504/2580 synthase [EC:5.4.99.24]
K06178	contigs_clean	775	c_000000000019	None	23S rRNA pseudouridine2605 synthase [EC:5.4.99.22]
K00864	contigs_clean	771	c_000000000018	None	glycerol kinase [EC:2.7.1.30]
K03885	contigs_clean	762	c_000000000018	None	NADH:quinone reductase (non-electrogenic) [EC:1.6.5.9]
K20866	contigs_clean	760	c_000000000017	None	glucose-1-phosphatase [EC:3.1.3.10]
K11066	contigs_clean	767	c_000000000018	None	N-acetylmuramoyl-L-alanine amidase [EC:3.5.1.28]
K11105	contigs_clean	756	c_000000000017	None	potassium/hydrogen antiporter
K03667	contigs_clean	777	c_000000000019	None	ATP-dependent HslUV protease ATP-binding subunit HslU
K01447	contigs_clean	767	c_000000000018	None	N-acetylmuramoyl-L-alanine amidase [EC:3.5.1.28]
K04066	contigs_clean	780	c_000000000019	None	primosomal protein N' (replication factor Y) (superfamily II helicase) [EC:5.6.2.4]
K00566	contigs_clean	765	c_000000000018	None	tRNA-uridine 2-sulfurtransferase [EC:2.8.1.13]
K19804	contigs_clean	773	c_000000000018	None	lipopolysaccharide assembly protein B
K07153	contigs_clean	764	c_000000000018	None	high frequency lysogenization protein
K08300	contigs_clean	758	c_000000000017	None	ribonuclease E [EC:3.1.26.12]
K08159	contigs_clean	757	c_000000000017	None	MFS transporter, DHA1 family, L-arabinose/isopropyl-beta-D-thiogalactopyranoside export protein
K00075	contigs_clean	782	c_000000000019	None	UDP-N-acetylmuramate dehydrogenase [EC:1.3.1.98]
K01419	contigs_clean	778	c_000000000019	None	ATP-dependent HslUV protease, peptidase subunit HslV [EC:3.4.25.2]
K18189	contigs_clean	776	c_000000000019	None	translational activator of cytochrome c oxidase 1
K02909	contigs_clean	781	c_000000000019	None	large subunit ribosomal protein L31
K06141	contigs_clean	526	c_000000000011	None	MFS transporter, TsgA protein
K03070	contigs_clean	515	c_000000000011	None	preprotein translocase subunit SecA [EC:7.4.2.8]
K04079	contigs_clean	530	c_000000000011	None	molecular chaperone HtpG
K03703	contigs_clean	527	c_000000000011	None	excinuclease ABC subunit C
K01139	contigs_clean	519	c_000000000011	None	GTP diphosphokinase / guanosine-3',5'-bis(diphosphate) 3'-diphosphatase [EC:2.7.6.5 3.1.7.2]
K03060	contigs_clean	518	c_000000000011	None	DNA-directed RNA polymerase subunit omega [EC:2.7.7.6]
K11085	contigs_clean	523	c_000000000011	None	ATP-binding cassette, subfamily B, bacterial MsbA [EC:7.5.2.6]
K00995	contigs_clean	528	c_000000000011	None	CDP-diacylglycerol---glycerol-3-phosphate 3-phosphatidyltransferase [EC:2.7.8.5]
K08301	contigs_clean	529	c_000000000011	None	ribonuclease G [EC:3.1.26.-]
K01142	contigs_clean	525	c_000000000011	None	exodeoxyribonuclease III [EC:3.1.11.2]
K02520	contigs_clean	867	c_000000000022	None	translation initiation factor IF-3
K02916	contigs_clean	866	c_000000000022	None	large subunit ribosomal protein L35
K03177	contigs_clean	844	c_000000000022	None	tRNA pseudouridine55 synthase [EC:5.4.99.25]
K02519	contigs_clean	846	c_000000000022	None	translation initiation factor IF-2
K03798	contigs_clean	852	c_000000000022	None	cell division protease FtsH [EC:3.4.24.-]
K09748	contigs_clean	848	c_000000000022	None	ribosome maturation factor RimP
K09013	contigs_clean	858	c_000000000022	None	Fe-S cluster assembly ATP-binding protein
K00962	contigs_clean	842	c_000000000022	None	polyribonucleotide nucleotidyltransferase [EC:2.7.7.8]
K01868	contigs_clean	868	c_000000000022	None	threonyl-tRNA synthetase [EC:6.1.1.3]
K11717	contigs_clean	860	c_000000000022	None	cysteine desulfurase / selenocysteine lyase [EC:2.8.1.7 4.4.1.16]
K09014	contigs_clean	857	c_000000000022	None	Fe-S cluster assembly protein SufB
K03075	contigs_clean	849	c_000000000022	None	preprotein translocase subunit SecG
K09015	contigs_clean	859	c_000000000022	None	Fe-S cluster assembly protein SufD
K05997	contigs_clean	856	c_000000000022	None	Fe-S cluster assembly protein SufA
K02426	contigs_clean	861	c_000000000022	None	cysteine desulfuration protein SufE
K00557	contigs_clean	854	c_000000000022	None	tRNA (uracil-5-)-methyltransferase [EC:2.1.1.35]
K02427	contigs_clean	853	c_000000000022	None	23S rRNA (uridine2552-2'-O)-methyltransferase [EC:2.1.1.166]
K01890	contigs_clean	863	c_000000000022	None	phenylalanyl-tRNA synthetase beta chain [EC:6.1.1.20]
K02600	contigs_clean	847	c_000000000022	None	transcription termination/antitermination protein NusA
K01889	contigs_clean	864	c_000000000022	None	phenylalanyl-tRNA synthetase alpha chain [EC:6.1.1.20]
K07235	contigs_clean	837	c_000000000022	None	tRNA 2-thiouridine synthesizing protein D [EC:2.8.1.-]
K05592	contigs_clean	841	c_000000000022	None	ATP-dependent RNA helicase DeaD [EC:3.6.4.13]
K02834	contigs_clean	845	c_000000000022	None	ribosome-binding factor A
K02956	contigs_clean	843	c_000000000022	None	small subunit ribosomal protein S15
K02887	contigs_clean	865	c_000000000022	None	large subunit ribosomal protein L20
K04764	contigs_clean	862	c_000000000022	None	integration host factor subunit alpha
K03746	contigs_clean	839	c_000000000022	None	DNA-binding protein H-NS
K02777	contigs_clean	61	c_000000000003	None	sugar PTS system EIIA component [EC:2.7.1.-]
K09815	contigs_clean	135	c_000000000004	None	zinc transport system substrate-binding protein
K01255	contigs_clean	255	c_000000000005	None	leucyl aminopeptidase [EC:3.4.11.1]
K06889	contigs_clean	351	c_000000000008	None	uncharacterized protein
K15257	contigs_clean	405	c_000000000011	None	tRNA (mo5U34)-methyltransferase [EC:2.1.1.-]
K01091	contigs_clean	435	c_000000000011	None	phosphoglycolate phosphatase [EC:3.1.3.18]
K09690	contigs_clean	438	c_000000000011	None	lipopolysaccharide transport system permease protein
K06204	contigs_clean	463	c_000000000011	None	RNA polymerase-binding transcription factor
K15973	contigs_clean	516	c_000000000011	None	MarR family transcriptional regulator, 2-MHQ and catechol-resistance regulon repressor
K07285	contigs_clean	582	c_000000000013	None	outer membrane lipoprotein
K00974	contigs_clean	586	c_000000000013	None	tRNA nucleotidyltransferase (CCA-adding enzyme) [EC:2.7.7.72 3.1.3.- 3.1.4.-]
K02439	contigs_clean	596	c_000000000013	None	thiosulfate sulfurtransferase [EC:2.8.1.1]
K05779	contigs_clean	625	c_000000000013	None	putative thiamine transport system ATP-binding protein
K03688	contigs_clean	670	c_000000000016	None	ubiquinone biosynthesis protein
K09921	contigs_clean	679	c_000000000016	None	uncharacterized protein
K04067	contigs_clean	693	c_000000000016	None	primosomal replication protein N''
K04065	contigs_clean	721	c_000000000017	None	hyperosmotically inducible periplasmic protein
K00951	contigs_clean	784	c_000000000019	None	GTP pyrophosphokinase [EC:2.7.6.5]
